"","CE","AN","SURG"
"kw1169",4.81377696377696,3.56030303030303,4.55235042735043
"kw1170",4.19753764753765,4.08974358974359,4.53846153846154
"kw1171",4.45690883190883,4.05128205128205,4.52564102564103
"kw1172",4.7703601953602,3.95641025641026,4.47542735042735
"kw1173",4.87569467569468,4.22524475524476,4.55235042735043
"kw1174",4.80845543345543,3.37121212121212,4.66200466200466
"kw1175",4.05990028490028,3.44032634032634,4.48717948717949
"kw1176",4.46872201872202,3.91666666666667,4.38461538461539
"kw1177",5.03737373737374,4.40515151515152,5.13138435638436
"kw1178",4.34795482295482,3.88846153846154,4.03846153846154
"kw1179",4.48622766122766,4.31398601398601,4.65491452991453
"kw1180",4.01213878713879,4.55081585081585,4.1981351981352
"kw1181",4.15947293447293,4.21179487179487,4.46474358974359
"kw1182",4.59159544159544,5.23,4.95208032708033
"kw1183",4.44243996743997,3.57948717948718,4.34081196581197
"kw1184",4.61429588929589,3.64487179487179,4.11324786324786
"kw1185",4.54349816849817,4.56923076923077,4.92307692307692
"kw1186",4.02751322751323,3.88776223776224,4.13995726495726
"kw1187",4.73599918599919,4.05606060606061,4.6025641025641
"kw1188",4.78183760683761,4.49230769230769,4.33333333333333
"kw1189",4.57098087098087,4.19871794871795,4.85897435897436
"kw1190",4.11534391534392,4.15629370629371,4.34615384615385
"kw1191",4.44986772486772,3.81165501165501,4.07692307692308
"kw1192",5.00906593406593,4.57179487179487,4.80769230769231
"kw1193",4.24518999519,4.15769230769231,4.33931623931624
"kw1194",4.49104599104599,4.31282051282051,4.44871794871795
"kw1195",4.00906593406593,3.50641025641026,4.21794871794872
"kw1196",5.08435083435083,4.43846153846154,4.70512820512821
"kw1197",3.86111111111111,4.30333333333333,4.00606060606061
"kw1198",4.23397435897436,3.84358974358974,4.26923076923077
"kw1199",4.68134920634921,4.07692307692308,4.33333333333333
"kw1200",4.44627224627225,3.4785236985237,4.46590909090909
"kw1201",4.0214035964036,3.95384615384615,3.9241452991453
"kw1202",4.76607651607652,4.42412587412587,4.73717948717949
"kw1203",4.66522366522367,4.11771561771562,4.14015151515152
"kw1204",5.45487012987013,5.46398268398268,5.30740740740741
"kw1205",4.44537037037037,4.2462703962704,4.33333333333333
"kw1206",4.74797517297517,4.4,4.52564102564103
"kw1207",4.3008954008954,3.98188811188811,4.28205128205128
"kw1208",4.85781440781441,4.71398601398601,4.73076923076923
"kw1209",4.58390313390313,3.5509324009324,4.33391608391608
"kw1210",4.73002136752137,4.33298368298368,4.7004662004662
"kw1211",4.97058404558405,3.92923076923077,4.31196581196581
"kw1212",4.66424825174825,4.03435897435897,3.875
"kw1213",4.48630998630999,4.70054945054945,4.61839549339549
"kw1214",3.8697422947423,4.24038461538461,4.66239316239316
"kw1215",3.99643874643875,3.54615384615385,4.22377622377622
"kw1216",4.02668905168905,3.82004662004662,4.2232905982906
"kw1217",4.25622895622896,4.06282051282051,4.29487179487179
"kw1218",4.71895604395604,3.6958041958042,4.32051282051282
"kw1219",4.77599715099715,4.22599067599068,4.69551282051282
"kw1220",4.77599715099715,4.20932400932401,4.75106837606838
"kw1221",4.83101343101343,4.03589743589744,4.28205128205128
"kw1222",4.67522385022385,3.64370629370629,4.83974358974359
"kw1223",4.42619047619048,4.23615384615385,4.72435897435897
"kw1224",5.85565175565176,3.52575757575758,4.15897435897436
"kw1225",4.79682400932401,4.68846153846154,4.74358974358974
"kw1226",4.0994412994413,3.15128205128205,4.30769230769231
"kw1227",4.14814814814815,4.17272727272727,4.13181818181818
"kw1228",3.98091491841492,4.17564102564103,4.4775641025641
"kw1229",4.10331196581197,4.06701631701632,4.22435897435897
"kw1230",4.17209595959596,3.84040404040404,4.16792328042328
"kw1231",4.53811188811189,4.24289044289044,4.18910256410256
"kw1232",3.91025641025641,4.02692307692308,3.96794871794872
"kw1233",4.49166666666667,4.06025641025641,3.95726495726496
"kw1234",4.03311965811966,4.30128205128205,4.25747863247863
"kw1235",4.05918803418803,4.06666666666667,3.8707264957265
"kw1236",3.95886752136752,4.57179487179487,4.25213675213675
"kw1237",4.31608391608392,4.23624708624709,4.26282051282051
